order_id,order_date,customer_id,total_amount,product_category,product_name,quantity,customer_age,customer_gender,region,sales_channel,order_status,cost_of_goods_sold,gross_margin
17130,2024-10-04,4071,164.39,Home Goods,Air Fryer,2,19,Non-Binary,Asia-Pacific,Website,Shipped,113.36,51.02999999999999
19250,2024-10-04,4788,75.64,Sports,Dumbbell Set,5,27,Male,N. America,Website,Shipped,49.57,26.07
18038,2024-10-04,3763,61.56,Apparel,T-Shirt,1,23,Male,N. America,Mobile App,Shipped,31.91,29.650000000000002
14535,2024-10-04,4417,190.31,Apparel,T-Shirt,5,45,Female,Europe,Website,Shipped,124.6,65.71000000000001
10829,2024-10-04,3610,154.66,Apparel,T-Shirt,2,53,Male,Latin America,Website,Shipped,97.39,57.269999999999996
12163,2024-10-04,4503,112.62,Food & Beverage,Gourmet Tea,5,68,Male,Europe,Mobile App,Shipped,83.84,28.78
17459,2024-10-04,4791,134.28,Books & Media,E-Reader,5,60,Male,N. America,Website,Shipped,73.14,61.14
10711,2024-10-04,3488,127.72,Books & Media,E-Reader,3,49,Male,Asia-Pacific,Website,Delivered,69.31,58.41
11124,2024-10-04,3806,90.38,Books & Media,Vinyl Record,4,26,Female,Europe,Website,Shipped,62.79,27.589999999999996
17258,2024-10-04,2895,114.14,Electronics,Smart Watch,2,19,Female,N. America,Website,Shipped,69.29,44.849999999999994
13555,2024-10-04,3733,229.46,Home Goods,Air Fryer,1,22,Male,Asia-Pacific,Affiliate,Shipped,161.58,67.88
13882,2024-10-04,3556,54.74,Apparel,Winter Jacket,3,20,Female,Europe,Website,Shipped,30.11,24.630000000000003
12190,2024-10-04,4722,139.09,Books & Media,E-Reader,4,47,Male,Europe,Website,Shipped,81.15,57.94
18326,2024-10-04,5318,101.49,Home Goods,Candle Set,1,38,Female,Europe,Website,Shipped,58.5,42.989999999999995
16729,2024-10-04,4918,121.62,Apparel,Denim Jeans,1,53,Female,Europe,Website,Shipped,86.54,35.08
12254,2024-10-04,3082,177.77,Sports,Running Shoes,4,26,Male,Latin America,Mobile App,Shipped,98.98,78.79
13338,2024-10-04,2591,25.21,Electronics,Wireless Earbuds,4,38,Female,Europe,Mobile App,Shipped,14.53,10.680000000000001
18792,2024-10-04,3699,123.67,Sports,Running Shoes,2,56,Not Specified,Asia-Pacific,Website,Shipped,68.2,55.47
11266,2024-10-04,5413,145.72,Food & Beverage,Gourmet Tea,1,42,Female,Europe,Website,Shipped,101.85,43.870000000000005
16554,2024-10-04,2335,120.05,Apparel,Winter Jacket,3,38,Not Specified,N. America,Website,Shipped,84.65,35.39999999999999
16915,2024-10-04,3467,152.99,Books & Media,Vinyl Record,2,39,Female,Europe,Website,Shipped,111.83,41.16000000000001
10743,2024-10-04,2204,108.86,Food & Beverage,Coffee Subscription,3,39,Not Specified,Asia-Pacific,Website,Shipped,60.38,48.48
17190,2024-10-04,2756,115.11,Books & Media,Vinyl Record,3,47,Male,Asia-Pacific,Website,Shipped,85.4,29.709999999999994
15625,2024-10-04,3126,57.66,Electronics,Laptop,1,50,Male,N. America,Website,Shipped,34.31,23.349999999999994
11082,2024-10-04,5239,158.12,Sports,Yoga Mat,5,35,Non-Binary,N. America,Mobile App,Cancelled,115.18,42.94
16561,2024-10-04,3400,182.14,Home Goods,Robot Vacuum,5,42,Female,Europe,Mobile App,Shipped,129.73,52.41
